"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"dr370","velutina","-117.421999","33.530343","Arizona ash","","2003-04-08","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"dr414","velutina","-117.505705","33.968847","Arizona ash","","2003-04-17","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"dr572","velutina","-116.830006","33.796025","Arizona ash","","2003-05-29","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"dr577","velutina","-116.82963","33.794807","Arizona ash","","2003-05-29","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"dr722","velutina","-117.44804","33.507459","Arizona ash","","2003-07-09","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"dr724","velutina","-117.440744","33.514511","Arizona ash","","2003-07-09","DFW Vegetation Classification and Mapping Program","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gr4241","velutina","-118.294258","35.670963","Arizona ash","","2005-01-01","","Kern","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gr5128","velutina","-117.973","34.1158","Arizona ash","","2002-01-01","","Los Angeles","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gr5136","velutina","-118.1007","34.1981","Arizona ash","","1994-01-01","Tom Chester","Los Angeles","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gr5137","velutina","-118.735","34.1002","Arizona ash","","1983-01-01","Tom Chester","Los Angeles","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
