"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"po177420","dipetala","-120.917682","36.377253","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177421","dipetala","-120.917484","36.37563","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177422","dipetala","-120.921647","36.377903","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177423","dipetala","-120.922803","36.376244","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177424","dipetala","-120.92486","36.380957","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177425","dipetala","-120.874567","36.35678","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177426","dipetala","-120.875793","36.359627","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177427","dipetala","-120.879105","36.359613","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177428","dipetala","-120.878648","36.358807","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177429","dipetala","-120.879845","36.35862","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177430","dipetala","-120.880152","36.357766","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177431","dipetala","-120.881803","36.356946","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177432","dipetala","-120.884682","36.35317","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177433","dipetala","-120.885306","36.352106","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177434","dipetala","-120.888548","36.350647","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177435","dipetala","-120.892565","36.365974","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177436","dipetala","-120.890467","36.368008","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
