species,common_name,x,y
Fraxinus latifolia,Oregon ash,-121.418568,38.262652
Fraxinus latifolia,Oregon ash,-121.777627,38.260661
Fraxinus latifolia,Oregon ash,-122.038865,40.105054
Fraxinus latifolia,Oregon ash,-122.040372,40.104697
Fraxinus latifolia,Oregon ash,-122.011681,39.236904
Fraxinus latifolia,Oregon ash,-122.008279,39.456634
Fraxinus latifolia,Oregon ash,-122.015348,39.447404
Fraxinus latifolia,Oregon ash,-122.016668,39.319484
Fraxinus latifolia,Oregon ash,-122.009253,39.414987000000004
Fraxinus latifolia,Oregon ash,-123.363528,38.652455
Fraxinus latifolia,Oregon ash,-123.364112,38.652075
Fraxinus latifolia,Oregon ash,-123.405841,38.770001
Fraxinus latifolia,Oregon ash,-123.411205,38.701736
Fraxinus latifolia,Oregon ash,-123.285668,38.678607
Fraxinus latifolia,Oregon ash,-123.295875,38.681069
Fraxinus latifolia,Oregon ash,-121.329173,38.59778
Fraxinus latifolia,Oregon ash,-121.455649,38.672463
Fraxinus latifolia,Oregon ash,-121.327318,38.588661
Fraxinus latifolia,Oregon ash,-121.303072,38.624626
Fraxinus latifolia,Oregon ash,-120.964274,38.823978
Fraxinus latifolia,Oregon ash,-122.012002,40.107089
Fraxinus latifolia,Oregon ash,-121.699565,38.8053
Fraxinus latifolia,Oregon ash,-121.724084,38.802038
Fraxinus latifolia,Oregon ash,-121.876856,39.494246
Fraxinus latifolia,Oregon ash,-121.999711,39.465652
Fraxinus latifolia,Oregon ash,-121.645551,39.4552
Fraxinus latifolia,Oregon ash,-121.674607,38.755071
Fraxinus latifolia,Oregon ash,-121.662114,38.763426
Fraxinus latifolia,Oregon ash,-121.916091,39.29556
Fraxinus latifolia,Oregon ash,-121.910856,39.188726
Fraxinus latifolia,Oregon ash,-121.905229,39.187214
Fraxinus latifolia,Oregon ash,-121.884062,39.46469
Fraxinus latifolia,Oregon ash,-121.883887,39.469806
Fraxinus latifolia,Oregon ash,-121.877899,39.500239
Fraxinus latifolia,Oregon ash,-121.879323,39.445569
Fraxinus latifolia,Oregon ash,-121.884873,39.45248
Fraxinus latifolia,Oregon ash,-122.744432,38.703946
Fraxinus latifolia,Oregon ash,-123.063534,38.578032
Fraxinus latifolia,Oregon ash,-123.116668,38.58676
Fraxinus latifolia,Oregon ash,-123.060993,38.777755
